Наименование предмета,Автор,Музей,Идентификатор музея,КОПУК музея,ИНН музея,Items,Дата создания предмета (строка),Место создания,Items,Место находки,Строковое описание размеров,Описание,Количество составляющих,Изображение,Регистрационный номер Госкаталога,Дата регистрации записи.,Инвентарный номер,Номер по ГИК,Внутренний идентификатор,Собственник,Тип предмета,Вес,Единица измерения веса,Ширина,Высота,Длина,Единица измерения размера,Идентификатор эпохи создания предмета,Эпоха создания предмета,Время эпохи,Название эпохи,Интервал времени создания предмета (начало),Интервал времени создания предмета (окончание),"Точность задания времени (день, месяц, год, век, эпоха).",URL предмета на сайте музея,Ключевые слова,Краткое описание истории бытования (провенанс) предмета,Идентификатор статуса предмета,Типология,Идентификатор типологии,Типология (строковое описание).,Причина исключения,Основание для регистрации предмета,Бюджет,Часть музейного фонда,Порядок управления,Предмет в музейной системе,Музейная система
Обрез двуствольного охотничьего ружья,,"Государственное бюджетное учреждение культуры ""Мордовский республиканский объединенный краеведческий музей имени И.Д. Воронина""",293,126567,1326140397,"[""хромирование"",""гравировка"",""дерево"",""литье"",""сталь""]",нач.20 в.,Бельгия,,,"Общая длина - 56 см, длина стволов - 34 см","Два стальных круглых ствола, соединённые между собой соединительной планкой, в казённой части стволы с небольшим утолщением. Ударно-спусковой механизм куркового типа. Курки открытые, снизу два спусковых крючка в прорези спусковой скобы. Стальные части замков и прибора покрыты гравировкой. На казённой части стволов частично сохранился гравированный рисунок - сцены охоты",1,,1968551,2011-10-17T20:00:00.000Z,O 75,5613,1000,,,,,,,,сантиметры,,,,,1901-01-01T12:00:00.000Z,1910-01-01T12:00:00.000Z,YEAR,,,,6,,,оружие,,,федеральный,,,,
"Рисунок. Сцена из спектакля. М.Ф.Астангов в роли Ромео, О.И.Пыжова в роли Няни. ""Ромео и Джульетта"" (Постановка 1935 г. Режиссеры А.Д.Попов, И.Ю.Шлепянов, художник  И.Ю.Шлепянов). Москва, Театр Революции","[""Тарасова Вера Яковлевна""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""Бумага, графитный карандаш""]",1935 г.,,,,"22,1х32,7",,1,"[{""id"":294912,""code"":""294912"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/294912""}]",2579899,2013-01-30T20:00:00.000Z,,КП 291969,1000037,,,,,32.7,,22.1,метры,,,,,1935-01-01T12:00:00.000Z,,YEAR,,,,6,графика,2,Графика,,,,,,,
"Негатив. Сцена из спектакля. ""Солнечная ночь"" (Пост. - Стуруа Р., худ. - Кочакидзе О. и др.). Грузия, Грузинский государственный драматический театр им. Ш. Руставели","[""Ефимов Игорь Григорьевич (Фотограф). Ефимов Игорь Григорьевич (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1966,,,,3х4,,1,,2579901,2013-01-30T20:00:00.000Z,НФ 126861,КП 294037/259,1000036,,,,,4,,3,метры,,,,,1966-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Рисунок. Портрет. В.В.Ванин в роли Прохора Храпова. ""Васса Железнова"" (Постановка 1936 г. Постановка И.Н.Берсенева, С.Г.Бирман, С.В.Гиацинтовой, художник В.А.Шестаков). Москва, Театр имени МОСПС","[""Тарасова Вера Яковлевна""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""бумага, графитный карандаш, акварель""]",,,,,"21,2х22",,1,"[{""id"":294911,""code"":""294911"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/294911""}]",2579902,2013-01-30T20:00:00.000Z,,КП 291990,1000035,,,,,22,,21.2,метры,,,,,,,YEAR,,,,6,графика,2,Графика,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579907,2013-01-30T20:00:00.000Z,НФ 137734,КП 296809/319,1000034,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Ирд К. в Кремлевском театре, гастроли Тартусского театра ""Ванемуйне"".","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579909,2013-01-30T20:00:00.000Z,НФ 137714,КП 296809/242,1000033,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579913,2013-01-30T20:00:00.000Z,НФ 137733,КП 296809/318,1000032,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Негатив. Репетиция спектакля. Гастроли в Москве. ""Дикий капитан"". Эстония, Тарту. Государственный академический театр ""Ванемуйне""","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579914,2013-01-30T20:00:00.000Z,НФ 137731,КП 296809/316,1000031,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
"Рисунок. Портрет. Ф.Г.Раневская в роли [Вассы Железновой]. [""Васса Железнова"" ([Постановка 1936 г. Режиссер Е.С.Телешова])]. Москва, Центральный театр Красной армии]","[""Тарасова Вера Яковлевна""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""бумага, графитный карандаш, акварель""]",,,,,"27,4х22,4",,1,"[{""id"":294910,""code"":""294910"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/294910""}]",2579916,2013-01-30T20:00:00.000Z,,КП 291989,1000030,,,,,22.4,,27.4,метры,,,,,,,YEAR,,,,6,графика,2,Графика,,,,,,,
"Негатив. Ирд К. в Кремлевском театре, гастроли Тартусского театра ""Ванемуйне"".","[""Ровинский Г. М. (Фотограф). Ровинский Г. М. (Фотограф)""]","Федеральное государственное бюджетное учреждение культуры ""Государственный центральный театральный музей имени А.А. Бахрушина""",2614,118965,7705042669,"[""пленка""]",1967 г.,,,,"3,5х4",,1,,2579921,2013-01-30T20:00:00.000Z,НФ 137716,КП 296809/244,1000029,,,,,4,,3.5,метры,,,,,1967-01-01T12:00:00.000Z,,YEAR,,,,6,документы,15,Документы,,,,,,,
